Record ID	Web ID	Genus/Morphon 	Feeding Preference	Trophic ID 	Taxon ID	Log(Abundance)	Log(averageMass)	Log(Biomass)	Soil pH	C-tot	N-tot	Airborne N	Total N-input	Manure-N	Manure-P	P-pore water	Soil phosphate	Soil-Ptot	Soil-Cd 	Soil-Cr	Soil-Cu	Soil-Hg	Soil-Ni	Soil-Pb	Soil-Zn	Mean rainfall	Max rainfall	Average-T	Average-Tmax	Latitude	Longitude	Vegetation cover (%)	Ecosystem Type ID
1	95	Acrobeloides	Bacterivore nematode	31	31003	4.59	-1.17	3.42	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
2	95	Aglenchus	Plant-feeding nematode	11	11006	3.74	-1.05	2.69	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
3	95	Alliphis	Predatory mite (attacking nematodes)	52	52004	3.44	0.05	3.49	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
4	95	Anaplectus	Bacterivore nematode	31	31012	4.35	-0.52	3.83	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
5	95	Anystidae	Generalist mite	72	72006	3.77	0.62	4.39	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
6	95	Aphelenchoides	Fungivore nematode	21	21016	3.74	-1.5	2.25	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
7	95	Aporcelaimellus	Omnivore nematode	81	81019	3.74	0.55	4.29	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
8	95	Aporrectodea	Substrate-ingesting lumbricids	45	45013	1.8	4.7	6.5	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
9	95	Brachystomella	Fungivore insects and pauropods	23	23003	2.93	0.98	3.91	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
10	95	Cephalobidae	Bacterivore nematode	31	31032	4.22	-1.06	3.17	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
11	95	Cheiroseius (=Sejus)	Generalist mite	72	72026	3.45	0.36	3.81	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
12	95	Dauerlarvae stage	"Passive, substrate-related nematode"	41	41046	5	-0.8	4.2	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
13	95	Dolichodoridae	Plant-feeding nematode	11	11054	5	-0.89	4.11	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
14	95	Dorylaimoidea	Omnivore nematode	81	81058	4.35	-0.6	3.74	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
15	95	Enchytraeidae (juveniles)	Substrate-inhabiting enchytraeids	44	44000	2.77	0.83	3.6	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
16	95	Enchytraeus	Bacterivore enchytraeids	34	34004	3.55	1.06	4.61	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
17	95	Eriophyidae	Macrophytophage and panphytophage mites	12	12042	3.02	-0.61	2.41	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
18	95	Eucephalobus	Bacterivore nematode	31	31065	5.11	-0.86	4.25	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
19	95	Eupodes	Omnivore mite	82	82046	2.67	0.01	2.68	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
20	95	Fridericia	Fungivore enchytraeids	24	24006	2.55	1.65	4.2	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
21	95	Helicotylenchus	Plant-feeding nematode	11	11074	4.05	-0.79	3.25	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
22	95	Henlea	Substrate-inhabiting enchytraeids	44	44009	3.66	1.64	5.3	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
23	95	Isotoma	Fungivore insects and pauropods	23	23013	4.19	1.9	6.09	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
24	95	Lumbricus	Substrate-ingesting lumbricids	45	45018	1.1	4.6	5.69	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
25	95	Macrocheles	Generalist mite	72	72072	1.98	0.76	2.74	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
26	95	Meloidogyne	Plant-feeding nematode	11	11091	4.05	-1.29	2.76	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
27	95	Neodiplogasteridae	Omnivore nematode	81	81108	3.74	-1.47	2.28	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
28	95	Oppiella	Microphytophage mite (feeding on fungi)	22	22087	2.28	-0.45	1.83	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
29	95	Panagrolaimus	Bacterivore nematode	31	31116	3.74	-0.94	2.8	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
30	95	Paratylenchus	Plant-feeding nematode	11	11122	4.35	-1.24	3.1	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
31	95	Pergamasus	Generalist mite	72	72100	2.28	1.08	3.36	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
32	95	Platynothrus	Macrophytophage and panphytophage mites	12	12104	2.75	0.71	3.46	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
33	95	Plectus	Bacterivore nematode	31	31127	4.44	-0.58	3.86	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
34	95	Pratylenchus	Plant-feeding nematode	11	11129	4.05	-1.23	2.82	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
35	95	Rhabditidae	Bacterivore nematode	31	31142	5.3	-0.69	4.61	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
36	95	Thornematidae	Omnivore nematode	81	81151	4.05	-0.47	3.58	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
37	95	Tylenchidae	Fungivore nematode	21	21160	4.7	-1.36	3.34	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
38	95	Tylenchorhynchus	Plant-feeding nematode	11	11163	4.22	-0.66	3.56	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
39	95	Tylopharynx	Bacterivore nematode	31	31167	3.74	-1.44	2.3	4.9	48.1	3	22.7	350	327	83.3	39	480	533	0.18	18.9	9.7	0.03	<DL	9.7	22.6	1.8	17.6	19.4	26.9	53.09	6.63	67	1
40	96	Acrobeles	Bacterivore nematode	31	31002	5.35	-0.72	4.63	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
41	96	Acrobeloides	Bacterivore nematode	31	31003	5.29	-1.17	4.12	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
42	96	Aglenchus	Plant-feeding nematode	11	11006	4.15	-1.05	3.09	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
43	96	Alliphis	Predatory mite (attacking nematodes)	52	52004	3.21	0.05	3.26	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
44	96	Allolobophora	Substrate-ingesting lumbricids	45	45012	1.1	5.32	6.41	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
45	96	Anaplectus	Bacterivore nematode	31	31012	4.15	-0.52	3.63	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
46	96	Aphelenchoides	Fungivore nematode	21	21016	4.62	-1.5	3.13	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
47	96	Aporcelaimellus	Omnivore nematode	81	81019	4.45	0.55	5	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
48	96	Aporrectodea	Substrate-ingesting lumbricids	45	45013	0.92	4.7	5.62	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
49	96	Bdellidae	Predatory mite (attacking arthropods)	62	62015	2.28	0.82	3.09	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
50	96	Cephalobidae	Bacterivore nematode	31	31032	5.32	-1.06	4.27	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
51	96	Cheiroseius (=Sejus)	Generalist mite	72	72026	2.67	0.36	3.03	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
52	96	Dauerlarvae stage	"Passive, substrate-related nematode"	41	41046	4.99	-0.8	4.19	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
53	96	Dolichodoridae	Plant-feeding nematode	11	11054	5.1	-0.89	4.22	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
54	96	Dorylaimoidea	Omnivore nematode	81	81058	5.19	-0.6	4.58	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
55	96	Enchytraeidae (juveniles)	Substrate-inhabiting enchytraeids	44	44000	3.07	0.86	3.93	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
56	96	Enchytraeus	Bacterivore enchytraeids	34	34004	3.8	0.99	4.79	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
57	96	Eucephalobus	Bacterivore nematode	31	31065	4.45	-0.86	3.59	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
58	96	Eudorylaimus	Omnivore nematode	81	81066	4.15	-0.17	3.98	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
