Web ID	Description	Observational Scale	First Sampling	Taxa S	Pearson's r of AMR	Slope of AMR	Intercept of AMR	Rsquare of AMR	Quadratic Coefficient	Jarque-Bera	Lilliefors	Absolute Residuals	Durbin-Watson	Truncated Pareto	Possible Links L	Link Density	5th TLL	Average TLL	95th TLL	Min Log(N)	Log(averageN)	Max Log(N)	Log(summedN)	Min Log(B)	Log(averageB)	Max log(B)	Log(summedB)																
95	conventional farm	Large	"May 12, 1999"	39	-0.70	-0.4627	3.6505	0.4893	1	1	1	1	1	1	479	12	0.48	2.63	4.77	1.097	4.344	5.301	5.935	1.83	5.135	6.498	6.726																
96	conventional farm	Medium	"May 25, 1999"	42	-0.79	-0.5990	3.8788	0.5995	1	1	1	1	1	1	485	12	0.42	2.80	5.32	0.921	4.681	5.426	6.305	2.205	5.061	6.414	6.684																
97	conventional farm	Large	"May 27, 1999"	48	-0.69	-0.5658	3.5598	0.4755	1	1	1	1	1	1	811	17	0.56	2.71	4.57	0.62	4.358	5.274	6.039	1.322	4.673	5.988	6.354																
98	conventional farm	Large	"June 8, 1999"	39	-0.73	-0.6387	3.8501	0.5360	1	1	1	1	1	1	457	12	0.65	2.86	4.89	0.921	4.632	5.408	6.223	2.426	4.683	5.622	6.274																
99	organic farm	Large	"June 15, 1999"	54	-0.69	-0.4921	3.5992	0.4703	1	1	0	1	1	1	934	17	0.43	2.33	4.43	1.097	4.413	5.541	6.146	1.171	5.185	6.636	6.918																
100	conventional farm	Large	"June 8, 1999"	46	-0.71	-0.5634	3.6032	0.4980	1	1	1	1	1	1	734	16	0.53	2.59	4.61	0.62	4.372	5.222	6.035	2.21	4.706	6.1	6.368																
101	conventional farm	Large	"June 9, 1999"	45	-0.68	-0.6166	3.6010	0.4637	1	1	1	0	1	1	585	13	0.42	2.64	4.46	0.62	4.536	5.393	6.189	1.368	4.805	6.224	6.459																
102	conventional farm	Medium	"May 26, 1999"	36	-0.79	-0.6106	3.6153	0.6222	1	1	1	1	1	1	277	8	0.38	2.77	8.80	0.921	4.409	5.197	5.965	1.981	4.641	5.818	6.197																
103	conventional farm	Large	"May 3, 1999"	41	-0.71	-0.5089	3.7107	0.5037	1	1	1	1	1	1	377	9	0.64	3.29	4.73	1.097	4.633	5.533	6.246	1.368	5.371	6.782	6.984																
104	conventional farm	Medium	"April 21, 1999"	53	-0.73	-0.5242	3.6201	0.5257	1	1	1	1	1	1	1066	20	0.49	2.62	4.58	1.222	4.361	5.242	6.085	1.666	5.168	6.539	6.892																
105	conventional farm	Large	"May 6, 1999"	48	-0.65	-0.5510	3.5767	0.4238	1	1	1	1	0	1	817	17	0.43	2.69	4.40	0.921	4.544	5.48	6.225	1.368	5.051	6.539	6.732																
106	intensive farm	Medium	"May 19, 1999"	42	-0.62	-0.3684	3.4767	0.3824	1	1	1	1	1	1	796	19	0.43	2.20	3.78	1.222	4.045	5.175	5.669	1.981	5.053	6.468	6.676																
107	intensive farm	Small	"June 2, 1999"	36	-0.50	-0.4990	3.4508	0.2466	1	1	1	1	0	1	530	15	0.42	2.07	3.50	1.771	4.214	5.218	5.771	2.003	4.331	5.659	5.888																
108	intensive farm	Medium	"May 28, 1999"	43	-0.71	-0.5598	3.6516	0.5007	1	1	1	1	1	1	712	17	0.48	2.54	4.40	0.62	4.501	5.392	6.135	2.146	5.025	6.552	6.658																
109	organic farm	Medium	"May 26, 1999"	42	-0.66	-0.4797	3.6459	0.4327	1	1	1	0	1	1	699	17	0.50	2.82	4.85	0.921	4.479	5.657	6.103	1.368	5.289	6.539	6.913																
110	intensive farm	Medium	"June 1, 1999"	44	-0.66	-0.5842	3.7495	0.4300	1	1	1	1	1	1	744	17	0.58	2.63	4.69	1.097	4.628	5.634	6.271	1.368	4.654	5.799	6.297																
111	conventional farm	Large	"May 20, 1999"	43	-0.57	-0.5259	3.4696	0.3249	1	1	1	1	1	1	569	13	0.41	2.19	3.72	1.976	4.11	4.874	5.744	1.981	4.531	6.081	6.164																
112	conventional farm	Large	"May 19, 1999"	41	-0.77	-0.5539	3.6437	0.5972	1	1	1	1	1	1	596	15	0.43	2.57	4.38	0.62	4.403	5.642	6.016	2.469	4.901	6.222	6.513																
113	conventional farm	Large	"June 14, 1999"	47	-0.72	-0.5879	3.7878	0.5182	1	1	1	1	1	1	821	17	0.60	2.78	4.64	0.921	4.739	5.978	6.411	2.006	5.073	6.323	6.745																
114	organic farm	Medium	"June 29, 1999"	43	-0.69	-0.5036	3.8070	0.4786	1	1	1	1	1	1	556	13	0.56	2.85	4.59	1.465	4.587	5.711	6.221	1.752	5.536	6.937	7.17																
115	intensive farm	Medium	"June 14, 1999"	46	-0.59	-0.5289	3.6168	0.3506	1	1	1	1	1	1	750	16	0.44	2.29	4.10	1.319	4.467	5.404	6.13	1.432	4.853	6.277	6.515																
116	intensive farm	Medium	"May 28, 1999"	50	-0.70	-0.5185	3.7287	0.4869	1	1	1	1	1	1	758	15	0.55	2.46	4.26	0.921	4.476	5.367	6.175	1.368	4.985	6.238	6.684																
117	conventional farm	Medium	"May 4, 1999"	49	-0.76	-0.6165	3.7042	0.5720	1	1	1	1	1	1	716	15	0.43	2.36	4.20	0.62	4.474	5.4	6.164	2.09	4.842	6.276	6.532																
118	conventional farm	Medium	"May 11, 1999"	46	-0.69	-0.5004	3.8307	0.4718	1	1	1	1	1	1	781	17	0.51	2.67	4.44	1.574	4.637	5.652	6.3	2.205	5.521	6.978	7.184																
119	intensive farm	Large	"June 8, 1999"	44	-0.57	-0.4702	3.6479	0.3274	1	1	1	1	1	1	754	17	0.64	2.50	4.36	1.796	4.485	5.75	6.128	1.666	5.025	6.498	6.669																
